"","Year","ID_IPEDS","degree_bach","public","enroll_ftug","grant_federal","grant_state"
"127",2011,220057,0,1,615,1864800,684411
"128",2011,220075,1,1,2105,4659319,7233244
"129",2011,220118,0,0,57,175450,9000
"130",2011,220127,0,1,843,1264821,721531
"131",2011,220181,1,0,122,388707,100000
"132",2011,220206,1,0,54,128018,49000
"133",2011,220215,1,0,384,762226,979027
"134",2011,220251,0,1,323,756677,329440
"135",2011,220279,0,1,323,449173,248045
"136",2011,220312,1,0,79,307876,141375
"137",2011,220321,0,1,445,499119,15447
"138",2011,220394,0,1,105,470245,203000
"139",2011,220400,0,1,985,2903635,1169407
"140",2011,220464,0,0,17,39050,31245
"141",2011,220473,1,0,156,344151,147000
"142",2011,220516,1,0,174,334355,384875
"143",2011,220552,1,0,256,861929,313470
"144",2011,220598,1,0,599,3754818,552750
"145",2011,220604,1,0,183,460422,137875
"146",2011,220613,1,0,870,1369393,1630443
"147",2011,220631,1,0,312,958412,1327595
"148",2011,220640,0,1,259,594997,250904
"149",2011,220701,1,0,360,1190154,1052157
"150",2011,220710,1,0,293,633205,1358168
"151",2011,220756,0,1,175,341650,322094
"152",2011,220808,1,0,94,326319,232006
"153",2011,220853,0,1,692,2588050,594200
"154",2011,220862,1,1,2497,6602961,9644174
"155",2011,220978,1,1,3466,7976462,14552670
"156",2011,221050,0,1,427,635416,528880
"157",2011,221096,0,1,994,2130434,1068253
"158",2011,221102,0,1,497,804589,478862
"159",2011,221148,0,0,922,2540430,18000
"160",2011,221184,0,1,875,2986401,551228
"161",2011,221236,0,1,306,1238472,497432
"162",2011,221254,1,0,23,29925,70300
"163",2011,221281,0,1,321,1594316,624892
"164",2011,221333,0,1,236,606004,259430
"165",2011,221351,1,0,545,611850,759000
"166",2011,221388,0,1,174,562063,4000
"167",2011,221397,0,1,1068,2945243,1759339
"168",2011,221430,0,1,236,870750,423240
"169",2011,221485,0,1,1844,5570112,820473
"170",2011,221494,0,1,621,595030,626650
"171",2011,221519,1,0,433,394011,538000
"172",2011,221582,0,1,239,742421,279215
"173",2011,221591,0,1,279,1316613,331298
"174",2011,221607,0,1,115,247038,122268
"175",2011,221616,0,1,474,1786342,803777
"176",2011,221625,0,1,442,1038399,623503
"177",2011,221634,0,1,243,1090435,391856
"178",2011,221643,0,1,1771,4057538,2165673
"179",2011,221661,1,0,638,967287,496665
"180",2011,221731,1,0,206,369005,745062
"181",2011,221740,1,1,2170,3310647,9048394
"182",2011,221759,1,1,4175,5606038,17631969
"183",2011,221768,1,1,1290,2970296,5606666
"184",2011,221795,1,0,57,115500,17000
"185",2011,221838,1,1,1144,4536920,1860057
"186",2011,221847,1,1,1951,3248409,8210222
"187",2011,221892,1,0,262,450542,554500
"188",2011,221908,0,1,967,2758664,1279174
"189",2011,221953,1,0,298,904703,784500
"190",2011,221971,1,0,470,815625,1399131
"191",2011,221999,1,0,1600,1114859,941910
"192",2011,222053,0,1,1227,2834365,1415360
"193",2011,222062,0,1,1356,3733640,2139023
"194",2011,222105,0,0,28,34258,0
"195",2011,246202,0,0,219,803934,12945
"196",2011,248925,0,1,647,2431005,970555
"197",2011,368443,1,0,102,369094,8871
"198",2011,368452,1,0,90,108765,6000
"199",2011,382771,0,0,87,280425,2000
"200",2011,388043,0,0,46,235256,1333
"201",2011,392840,1,0,73,70227,76625
"202",2011,418870,0,0,65,291916,2000
"203",2011,418889,0,0,97,173026,29798
"204",2011,440873,0,0,173,925588,12000
"205",2011,443340,1,0,11,22450,9200
"206",2011,443650,0,0,60,219691,4000
"207",2011,443766,1,0,2,2775,0
"208",2011,444255,1,0,153,589951,18001
"209",2011,445249,0,0,149,540923,31652
"210",2011,448664,0,0,116,390950,6000
"211",2011,449010,1,0,247,717399,254269
"212",2011,449764,1,0,21,46925,0
"213",2011,450535,1,0,16,67547,0
"214",2011,452124,0,0,85,384705,17297
"215",2011,455567,0,0,77,364556,2400
"216",2011,456940,0,0,97,489502,0
"217",2012,219505,1,0,16,33500,1000
"218",2012,219578,1,0,18,32425,66405
"219",2012,219602,1,1,1182,3056096,4298313
"220",2012,219639,1,0,66,178321,361640
