"","Year","ID_IPEDS","degree_bach","public","enroll_ftug","grant_federal","grant_state"
"635",2015,418889,0,0,22,41215,7500
"636",2015,440873,0,0,98,513425,2000
"637",2015,443340,1,0,2,0,0
"638",2015,443650,0,0,62,310580,5334
"639",2015,443766,1,0,13,39251,0
"640",2015,444255,1,0,42,175737,2332
"641",2015,445249,0,0,61,212202,0
"642",2015,448664,0,0,63,235705,0
"643",2015,449010,1,0,209,701982,239939
"644",2015,449764,1,0,17,40850,0
"645",2015,450535,1,0,2,7219,0
"646",2015,452124,0,0,45,216786,4534
"647",2015,455567,0,0,52,233343,867
"648",2015,456940,0,0,60,274775,0
